day,Account,daily_pnl,trade_count,win_rate,avg_trade_size,avg_leverage,long_ratio,sentiment
2023-05-01,0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,0.0,3,0.0,0.08376666666666666,,0.0,Greed
2023-12-05,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,0.0,9,0.0,1.3121122222222223,,0.0,Extreme Greed
2023-12-14,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,-205.43473700000007,11,0.36363636363636365,372.0262736363636,,0.0,Greed
2023-12-15,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,-24.632033999999997,2,0.0,1779.0,,0.0,Greed
2023-12-16,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,0.0,3,0.0,13299.0,,0.0,Greed
2023-12-17,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,304.982785,14,0.5,6160.460614285715,,0.0,Greed
2023-12-18,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,0.0,2,0.0,7.153,,0.0,Greed
2023-12-19,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,1000.5386120000001,15,0.6666666666666666,10769.753733333333,,0.0,Greed
2023-12-20,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,162.732282,18,0.4444444444444444,9695.566666666668,,0.0,Greed
2023-12-21,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,537.211402,49,0.5306122448979592,27.84285714285714,,0.0,Greed
2023-12-22,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,141.832675,10,0.2,245.07491,,0.0,Greed
2023-12-23,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,146.936704,13,0.6153846153846154,10897.33846153846,,0.0,Greed
2023-12-24,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,1008.619956,39,0.38461538461538464,7299.543489230769,,0.0,Greed
2023-12-25,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,-245.081348,3,0.0,8.793733333333334,,0.0,Greed
2023-12-27,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,-704.8892269999999,28,0.14285714285714285,16269.285714285714,,0.0,Greed
2023-12-28,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,-970.730876,23,0.0,11467.478260869566,,0.0,Greed
2023-12-29,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,508.92214299999995,50,0.3,316.8720516,,0.0,Greed
2023-12-30,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,354.998648,52,0.4423076923076923,3046.1517753846156,,0.0,Greed
2024-01-01,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,-129.53146,18,0.05555555555555555,232.15481333333335,,0.0,Greed
2024-01-02,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,783.979116,17,0.47058823529411764,12248.13852117647,,0.0,Greed
2024-01-03,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,866.015507,67,0.417910447761194,962.718319402985,,0.0,Greed
2024-01-04,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,-67.60364,5,0.0,9.01916,,0.0,Greed
2024-01-05,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,164.141565,66,0.19696969696969696,3.815267575757576,,0.0,Greed
2024-01-06,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,135.58166400000002,22,0.45454545454545453,321.7012109090909,,0.0,Greed
