sentiment,lev_segment,mean_daily_pnl,mean_win_rate,mean_trade_count,mean_avg_leverage
Extreme Fear,low_lev,4619.4390530625005,0.32965914590002776,133.75,
Extreme Greed,low_lev,5161.9226438650185,0.3863873398662182,76.03041825095058,
Fear,low_lev,5328.818161336508,0.36403251387116353,98.15396825396826,
Greed,low_lev,3318.100729862654,0.3435587568848799,77.62808641975309,
Neutral,low_lev,3438.6188179521278,0.35541409810875263,100.22872340425532,
